folder_name,url,phish_category,phish_score
mail.wereldpas-vervang.com,http://mail.wereldpas-vervang.com/klanten_verificatie.php,1,0.6666666666666666
batagorasyik.id_duplicate,http://batagorasyik.id/breder/cp_webmail/cpwebmail,0,0.3333333333333333
businesspromoted.com,https://businesspromoted.com/wordpress/.../home/new.new.american.express.support/home?cmd=www.ssaonline-account-service.com-update_submit&id=1fbbb1f4fb181bfb1e6847e71e08a2361fbbb1f4fb181bfb1e6847e71e08a236&session=1fbbb1f4fb181bfb1e6847e71e08a2361fbbb1f4fb181bfb1e6847e71e08a236,0,0.3333333333333333
www.update-aol2020.com.accaccess.com,https://www.update-aol2020.com.accaccess.com/,1,0.8333333333333334
hisanaga-stone.com,http://hisanaga-stone.com/diarypro/data/upfile/350/New-Blockchain/,0,0.3333333333333333
batagorasyik.id,http://batagorasyik.id/breder/cp_webmail/cpwebmail,0,0.3333333333333333
itbgiso.keltron.in,http://itbgiso.keltron.in/ftra/pluhin/login/webmail/Webmail%20Login.php,1,0.5
alaskausaa-secure.dynserv.org_duplicate,http://alaskausaa-secure.dynserv.org/security.php?cmd=login_submit&id=&session=,1,0.8333333333333334
barclays.hcbon-en.com,https://barclays.hcbon-en.com/,1,0.6666666666666666
myee.authorisationsecured.com,https://myee.authorisationsecured.com/account,1,0.5
www.snstechnicalsupport.com_duplicate,http://www.snstechnicalsupport.com/snsbackups/chain/,1,0.5
www.agrandfamilyadventure.com_duplicate,http://www.agrandfamilyadventure.com/wp-content/webmailplan,1,0.5
customer-eehelp.com,http://customer-eehelp.com/banks/bank.barclays.co.uk,1,0.5
geaswer.com_duplicate,https://geaswer.com/square,0,0.3333333333333333
serviciosclientesmultired1bn.xyz,https://serviciosclientesmultired1bn.xyz/BNWeb/lnicio/,0,0.16666666666666666
bt.business.iurycosta.com,http://bt.business.iurycosta.com/2/bt3.htm,1,0.8333333333333334
www.zonasegura1.bn.com.multiservicioswebther.com,https://www.zonasegura1.bn.com.multiservicioswebther.com/BNlWeb/lnicio/logins.do,0,0.16666666666666666
