folder_name,url,phish_category,phish_score
happylifestyle.com,https://happylifestyle.com,1,0.5
grooves.land,https://grooves.land,1,0.5
inilabs.net,https://inilabs.net,0,0.0
ilnapolista.it,https://ilnapolista.it,1,0.5
grum.co,https://grum.co,0,0.3333333333333333
afoodieworld.com,http://afoodieworld.com,1,0.5
wordpressabz.com,http://wordpressabz.com,1,0.6666666666666666
zonasinhunter.com,https://zonasinhunter.com,1,0.5
apple-iphone.ru,http://apple-iphone.ru,1,0.6666666666666666
zweiporn.com,https://zweiporn.com,1,0.5
admitad.com,https://admitad.com,1,0.5
hansebubeforum.de,https://hansebubeforum.de,0,0.3333333333333333
1and1.com,http://1and1.com,1,0.5
growtraffic.com,https://growtraffic.com,0,0.3333333333333333
handywebdesign.net,https://handywebdesign.net,1,0.5
aerosoles.com,http://aerosoles.com,1,0.5
wweek.com,https://wweek.com,0,0.0
kammasheh.com,https://kammasheh.com,1,0.6666666666666666
handtec.co.uk,https://handtec.co.uk,1,0.5
adele.org,https://adele.org,0,0.3333333333333333
inkhabar.com,https://inkhabar.com,1,0.5
grouvee.com,https://grouvee.com,1,0.5
kakatiya.ac.in,https://kakatiya.ac.in,0,0.0
admatic.com.tr,http://admatic.com.tr,0,0.3333333333333333
aeroprecisionusa.com,http://aeroprecisionusa.com,1,0.6666666666666666
groupalia.it,https://groupalia.it,1,0.6666666666666666
groppetti.eu,https://groppetti.eu,1,0.5
hardsubcafe.net,https://hardsubcafe.net,1,0.6666666666666666
afisha.uz,https://afisha.uz,1,0.5
grooves-inc.com,https://grooves-inc.com,1,0.6666666666666666
zoom.co.uk,https://zoom.co.uk,1,0.5
gsis.gr,https://gsis.gr,0,0.3333333333333333
happy88.com,https://happy88.com,0,0.3333333333333333
guidetoiceland.is,https://guidetoiceland.is,1,0.6666666666666666
happiestbaby.com,https://happiestbaby.com,1,0.5
handyhardcore.com,https://handyhardcore.com,1,0.5
grps.org,https://grps.org,1,0.5
gru.com,https://gru.com,1,0.5
admedia.com,http://admedia.com,0,0.3333333333333333
zzgays.com,https://zzgays.com,1,0.5
kam24.ru,https://kam24.ru,1,0.6666666666666666
3wcoffee.com,http://3wcoffee.com,0,0.3333333333333333
junodownload.com,http://junodownload.com,1,0.5
gruenderszene.de,http://gruenderszene.de,1,0.5
hanken.fi,https://hanken.fi,1,0.5
kaleidacare.com,https://kaleidacare.com,1,0.5
zonaimage.net,https://zonaimage.net,0,0.0
ilex.by,https://ilex.by,1,0.5
admiralmarkets.fr,http://admiralmarkets.fr,1,0.5
happyscribe.co,https://happyscribe.co,1,0.5
