Original Folder Name,New Folder Name,URL,label
overstockmiami.com,overstockmiami.com,http://overstockmiami.com/wp-content/themes/quality/css/auth,1
www.justlookapp.com,www.justlookapp.com,http://www.justlookapp.com/blog/wp-content/themes/storefront/assets/fonts/c8fe2373bd59b7bc5e1e8cbdf2578d45/info.php,1
u786324cnd.ha004.t.justns.ru,u786324cnd.ha004.t.justns.ru,http://u786324cnd.ha004.t.justns.ru/ca/b0a372c43cc5977a3f974dbd7dcd798c/,1
solucaoagrorural.com.br,solucaoagrorural.com.br,https://solucaoagrorural.com.br/img/do2action/ls/agri/52ca5/,1
medicaredirect.com,medicaredirect.com,https://medicaredirect.com/taxe/desj/index2.php,1
oreobathrobe.com,oreobathrobe.com,https://oreobathrobe.com/telekom/btele/index.php,1
livingcolour.co.jp_duplicate,livingcolour.co.jp_duplicate,http://livingcolour.co.jp/blog/dinsDesjar/ca/users/Login.ID-67824/,1
tavatavukculuk.com,tavatavukculuk.com,http://tavatavukculuk.com/wp-admin/user/sss/update/error.php?websrc=98583a020936fa97b877edd83eabb903&dispatched=2145591270&id=214559127098583a020936fa97b877edd83eabb903&email=cpj1925@hanmail.net,1
mail.vidwap.cu.ma,mail.vidwap.cu.ma,https://mail.vidwap.cu.ma/~gntcncum/D/H/L/EX-Press/document-/=46d37d3ffe90b3e56482e0726a2ff729cad88d5916aeb3e4a2a1d3c8889afd000dffdd18fe1509450bde3c1eebdef4be/tracking2.php,1
la-beauti.com,la-beauti.com,https://la-beauti.com/Million%20-%202/directing/desjardins/identifiantunique/index.php,1
live-chas.com,live-chas.com,http://live-chas.com/ff,1
noleggiolungotermineprivati.net,noleggiolungotermineprivati.net,http://noleggiolungotermineprivati.net/agri/0c010/,1
fecosmetics.asia_duplicate,fecosmetics.asia_duplicate,https://fecosmetics.asia/closingdocuments/index.php,1
het-impp11.com,het-impp11.com,http://het-impp11.com/servi-mail-pro-webb111928270383jksddkjsdjks191171927282827383322,1
www.ameli-account-connection.agip.net.pe,www.ameli-account-connection.agip.net.pe,https://www.ameli-account-connection.agip.net.pe/8f7f7a8804ea33c/index.php,1
everestwebdevelopment.com,everestwebdevelopment.com,http://everestwebdevelopment.com/han/hanmail/login.php?cmd=login_submit&id=14a489c2dcd0ec70153cdaf302333dfd14a489c2dcd0ec70153cdaf302333dfd&session=14a489c2dcd0ec70153cdaf302333dfd14a489c2dcd0ec70153cdaf302333dfd,1
azurefetcherstorage.blob.core.windows.net,azurefetcherstorage.blob.core.windows.net,http://azurefetcherstorage.blob.core.windows.net/contentfreshnesshourlyslapiclick/snapshot-ec1cd585a6b303e8aef3ca65c63e077520200610222656,1
jicssolar.com,jicssolar.com,http://jicssolar.com/tel/telekom/index.html,1
www.inpots-gouv.eu,www.inpots-gouv.eu,http://www.inpots-gouv.eu/fr/impots/customer-IDPP00C399/sms.html,1
acm1.eim.ae.iwc.static.c11n.todiplywood.com_duplicate,acm1.eim.ae.iwc.static.c11n.todiplywood.com_duplicate,http://acm1.eim.ae.iwc.static.c11n.todiplywood.com/queries/clearquery/index.html,1
mail.pure-edge.co.za_duplicate,mail.pure-edge.co.za_duplicate,http://mail.pure-edge.co.za/dhl/my.dhl-com/my.dhl-com,1
assurancemaladiesd.000webhostapp.com,assurancemaladiesd.000webhostapp.com,http://assurancemaladiesd.000webhostapp.com/amelis/ameliass/PortailAS/appmanager/PortailAS/amelipro,1
vj-shah.com,vj-shah.com,http://vj-shah.com/imag/login/5fcbc1fbdd21610ccc0c57c15485524c/confirm.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon,1
nitechsolution.com,nitechsolution.com,http://nitechsolution.com/wp-content/upgrade/sample/Reembolso_Electronico.html,1
equaban-a-s-cz.herokuapp.com_duplicate,equaban-a-s-cz.herokuapp.com_duplicate,http://equaban-a-s-cz.herokuapp.com/otp.php,1
minivale.com,minivale.com,http://minivale.com/CD/index.php,1
www.alghero-appartamento.com,www.alghero-appartamento.com,http://www.alghero-appartamento.com/france/ind/sms.html,1
eafreight.ltd,eafreight.ltd,http://eafreight.ltd/-/telekom/,1
wintouch.ir,wintouch.ir,http://wintouch.ir/kdxq,1
aadillaptops.com,aadillaptops.com,http://aadillaptops.com/wp-admin/js/app/chase%20bank/home/myaccount/billing.php?websrc=e17ea285ad581008aac6b89b49ab879e&dispatched=49&id=4489478931,1
cengelkoylife.com,cengelkoylife.com,http://cengelkoylife.com/CREDlTS.txt/db/db,1
karim-gawad.com,karim-gawad.com,https://karim-gawad.com/wp-admin/css/colors/coffee/db/emiratee.htm,1
kwerkykidz.com,kwerkykidz.com,https://kwerkykidz.com/wp/vraitax%20(2)/vraitax/tax/96322/tax/taxb/desj/index2.php,1
mntruckclub.com,mntruckclub.com,http://mntruckclub.com/whne/dren/,1
sheepzinn.com_duplicate,sheepzinn.com_duplicate,https://sheepzinn.com/fr/ag/sms-error.html,1
pure-edge.co.za_duplicate,pure-edge.co.za_duplicate,http://pure-edge.co.za/dhl/my.dhl-com/my.dhl-com/,1
